scenario_id,topology,pump_sku,pump_native_flange,pump_native_shaft,bell_housing_strategy,bell_housing_sku,bell_housing_cost_usd,coupling_sku,coupling_cost_usd,adapter_required,adapter_notes,stack_length_added_in,pump_section_a_cc,pump_section_b_cc,engine_rpm,vol_eff,mech_eff,section_a_gpm,section_b_gpm,total_gpm,track_motor_cipr,track_motor_cc,track_max_rpm,track_gpm_per_side,track_gpm_total,relief_psi,section_a_hp_at_relief,section_b_hp_at_relief,total_hp_at_relief,engine_hp_net,headroom_hp,notes
S1_single_11gpm_baseline,single-pump shared (current canonical BOM),Haldex 1001601 or equiv 1.4 cipr SAE-A,SAE-A,5/8 9T spline,off-the-shelf Vanguard-to-SAE-A kit,Bailey Hyd "Vanguard 18-23 HP to SAE-A pump mount kit" or Surplus Center equiv,200,L-jaw coupling included in kit (1-1/8 keyed engine + 5/8 9T spline pump hubs),0,no,Native fit. Kit covers housing + coupling + spider.,4.0,22.9,n/a,3600,0.85,0.88,11.0,n/a,11.0,12.0,196.6,106,5.5,11.0,3000,19.3,n/a,19.3,16,-3.3,Current §1 BOM. All 11 GPM through one EFC then split between 2 track valves + arm valves. No inherent L/R balance.
S2_tandem_8plus8_track_dedicated,tandem (track-dedicated section + arm section),HY2-LN size 08+08,SAE-A,5/8 9T spline,off-the-shelf Vanguard-to-SAE-A kit,Bailey Hyd Vanguard-to-SAE-A kit,200,Included in kit,0,no,Native fit. Tandem pump = single overall mount; rear section bolts to front section per HY2-LN p11 procedure.,4.5,8.2,8.2,3600,0.96,0.88,7.5,7.5,15.0,12.0,196.6,106,5.5,11.0,3000,13.1,13.1,26.2,16,-10.2,Each section feeds one track via own EFC. Inherent L/R match. ~2 GPM/side headroom for hill assist. Both sections at full pressure overloads engine = relief opens (normal).
S3_tandem_11plus8_asymmetric,tandem (front=arms big section + rear=tracks),HY2-LN size 11+08,SAE-A,5/8 9T spline,off-the-shelf Vanguard-to-SAE-A kit,Bailey Hyd Vanguard-to-SAE-A kit,200,Included in kit,0,no,Native fit,4.5,11.3,8.2,3600,0.96,0.88,10.3,7.5,17.8,12.0,196.6,106,3.75,7.5,3000,18.0,13.1,31.2,16,-15.2,Front 11cc handles arm/loader. Rear 8cc splits 7.5 GPM between both tracks via single EFC. Loses inherent L/R balance on rear; gains arm speed.
S4_tandem_14plus11_general,tandem (general 11cc base from earlier rec),HY2-LN size 14+11,SAE-A,5/8 9T spline,off-the-shelf Vanguard-to-SAE-A kit,Bailey Hyd Vanguard-to-SAE-A kit,200,Included in kit,0,no,Native fit,4.5,14.6,11.3,3600,0.96,0.88,13.3,10.3,23.6,12.0,196.6,106,5.5,11.0,2500,19.4,15.0,34.4,16,-18.4,Earlier conversational recommendation. Over-pumped for tracks; chronic relief = heat. Drop relief to 2500 PSI to keep within engine envelope at single-section full demand.
S5_single_LegacyOSE_22gpm,single-pump (legacy OSE high-flow build),Haldex 1003114 2.8 cipr SAE-B,SAE-B,7/8 13T spline,off-the-shelf Vanguard-23/Honda-GX630 to SAE-B kit,Bailey Hyd or Magnaloy SAE-B kit,250,L-jaw coupling with 1-1/8 keyed + 7/8 13T hubs,0,no,Off-the-shelf SAE-B kit available for larger Vanguard/Honda V-twins.,4.5,45.9,n/a,3600,0.85,0.88,22.0,n/a,22.0,12.0,196.6,213,11.0,22.0,3000,38.5,n/a,38.5,30,-8.5,Reference build for ~30 HP engines (Vanguard 23/Honda GX630). Out of scope for current 18 HP plan but shown for comparison.
S6_tandem_HY1_microbuild,tandem (small experimental build),HY1 075+075,SAE-AA,1/2 parallel keyed,custom adapter (no off-the-shelf SAE-AA kit for Vanguard 18 HP),custom-machined SAE-AA face on Bailey/Magnaloy SAE-A housing or full custom plate,300,Custom L-jaw with 1-1/8 keyed + 1/2 keyed hubs (Lovejoy L-095),60,yes,SAE-AA pumps are uncommon at this engine size - off-the-shelf kits jump from SAE-AA-on-small-engines (~5 HP) directly to SAE-A on Vanguard-class V-twins. Custom plate or re-machined SAE-A kit needed.,5.0,7.5,7.5,3600,0.96,0.88,6.8,6.8,13.6,8.0,131.1,106,3.4,6.8,3000,11.9,11.9,23.8,16,-7.8,Bracket low end of HY family. Adapter cost erodes the pump price advantage. Confirm HY1 tandem availability with Hydreco - HY1 datasheet does not show explicit tandem kit.
S7_HY3_LN_22cc_singleSection,single (HY3-LN smallest as single pump),HY3-LN size 22 (SAE-B),SAE-B,5/8 13T spline (SAE-B per HY3-LN p15),off-the-shelf Vanguard-23/Honda-GX630 to SAE-B kit,Bailey Hyd or Magnaloy SAE-B kit,250,L-jaw with 1-1/8 keyed + 5/8 13T hubs (note: 5/8 13T is non-standard - confirm hub availability or step up to 7/8 13T via shaft sleeve),60,no,SAE-B housing off-the-shelf. The HY3-LN 5/8 13T shaft is unusual; most SAE-B coupling hubs are 7/8 13T. Verify hub bore before ordering.,4.5,22.0,n/a,3600,0.96,0.88,20.1,n/a,20.1,12.0,196.6,106,5.5,11.0,2500,29.3,n/a,29.3,16,-13.3,HY3-LN 22cc as single pump. Big jump from HY2 family. Need 23+ HP engine to fully utilize. Documented for upgrade path.
S8_HY3_LN_tandem_22plus22,tandem (HY3-LN 22+22),HY3-LN 22+22 (SAE-B),SAE-B,5/8 13T spline (SAE-B),off-the-shelf Vanguard-23/Honda-GX630 to SAE-B kit,Bailey Hyd or Magnaloy SAE-B kit,250,Same caveat as S7,60,no,Same shaft caveat as S7,5.0,22.0,22.0,3600,0.96,0.88,20.1,20.1,40.2,12.0,196.6,213,11.0,22.0,2000,46.9,46.9,93.8,30,-63.8,Future upgrade path with 30+ HP engine. Way over current envelope. Listed for completeness.
S9_HY2_LN_tandem_11plus11_track_match,tandem (matched per-track sections),HY2-LN size 11+11,SAE-A,5/8 9T spline,off-the-shelf Vanguard-to-SAE-A kit,Bailey Hyd Vanguard-to-SAE-A kit,200,Included in kit,0,no,Native fit,4.5,11.3,11.3,3600,0.96,0.88,10.3,10.3,20.6,12.0,196.6,106,5.5,11.0,3000,18.0,18.0,36.0,16,-20.0,Symmetric L/R tracks. ~5 GPM/side headroom over per-track demand. Single section (one valve switched) within engine envelope.
S10_HY1_HY2_mixed_NotSupported,(invalid - cross-family tandem - anti-pattern),HY1 + HY2 stacked,mixed,mixed,custom intermediate (no factory or off-the-shelf solution),fully custom intermediate plate machined locally,400,Custom couplings at both interfaces,150,yes,"Hydreco datasheets only show HY3+HY3+HY2 (HY3-LN p5) or HY2+HY2 (HY2-LN p5) - cross-group HY1+HY2 tandem not factory supported, requires fully custom intermediate. NOT RECOMMENDED.",2.0,7.5,8.2,3600,0.96,0.88,6.8,7.5,14.3,12.0,196.6,106,5.5,11.0,3000,12.0,13.1,25.1,16,-9.1,Listed as anti-pattern documenting why we should pick one group. The HY3-LN datasheet (p5) example HY3+HY3+HY2 is the only mixed config Hydreco documents.
